classname,classoutline,teacher,test,remote,homework,numofunits,when,semester,unitclass,keyword,class,course,difficulty
国際関係特論,本授業の学習目標は、現代の国際関係現象を複眼的に捉えるための思考枠組みの修得です。現代的な現象に切り込むための糸口としてインターネット端末の普及などに焦点を当て、先端技術と国際関係がいかに密接に絡み合っているかを掘り下げます。リベラル国際秩序の揺らぎ、ハイブリッド戦争、エコノミック・ステイトクラフト／経済安全保障、サイバー空間の拡張、新興国のデジタル化、といった動向を学ぶことで、全8回の授業を通して現代の国際関係現象の重層的な成り立ちについて考えてみましょう。,大山貴稔,no,no,2,1,金曜２限,第3クォーター,選,リベラル国際秩序、ハイブリッド戦争、エコノミック・ステイトクラフト、サイバー空間の拡張、新興国のデジタル化、セキュリタイゼーション,GEプログラム,,1
圧縮情報処理特論AI,データ圧縮は，データの冗長性を取り除くことでデータ量を削減する技術である．従来，データ圧縮はデータを効率的に送受信・保存するための技術として発展してきたが，データを利用する際にかかる展開コストがデータの活用を妨げてしまうという問題があり，この問題はデータが爆発的に増加している近年，一層顕著になっている．このような背景から，「圧縮データを展開せずにそのまま利用する技術」や「情報処理の効率を上げるために圧縮を積極的に用いる手法」が盛んに研究されている．本講義では，近年発展が著しい「圧縮情報処理」の理論と応用を学ぶ．,井智弘,yes,no,4,2,月曜３限・水曜３限,第4クォーター,選必,データ圧縮，データ処理，検索，類似検索，索引，アルゴリズムとデータ構造,専門深化,人工知能,
圧縮情報処理特論DS,データ圧縮は，データの冗長性を取り除くことでデータ量を削減する技術である．従来，データ圧縮はデータを効率的に送受信・保存するための技術として発展してきたが，データを利用する際にかかる展開コストがデータの活用を妨げてしまうという問題があり，この問題はデータが爆発的に増加している近年，一層顕著になっている．このような背景から，「圧縮データを展開せずにそのまま利用する技術」や「情報処理の効率を上げるために圧縮を積極的に用いる手法」が盛んに研究されている．本講義では，近年発展が著しい「圧縮情報処理」の理論と応用を学ぶ．,井智弘,yes,no,4,2,月曜３限・水曜３限,第4クォーター,選必,データ圧縮，データ処理，検索，類似検索，索引，アルゴリズムとデータ構造,専門深化,データ科学,
圧縮情報処理特論MI,データ圧縮は，データの冗長性を取り除くことでデータ量を削減する技術である．従来，データ圧縮はデータを効率的に送受信・保存するための技術として発展してきたが，データを利用する際にかかる展開コストがデータの活用を妨げてしまうという問題があり，この問題はデータが爆発的に増加している近年，一層顕著になっている．このような背景から，「圧縮データを展開せずにそのまま利用する技術」や「情報処理の効率を上げるために圧縮を積極的に用いる手法」が盛んに研究されている．本講義では，近年発展が著しい「圧縮情報処理」の理論と応用を学ぶ．,井智弘,yes,no,4,2,月曜３限・水曜３限,第4クォーター,選必,データ圧縮，データ処理，検索，類似検索，索引，アルゴリズムとデータ構造,専門深化,メディア情報学,
多文化共生特論,持続可能なグローバル社会の発展のため多様性の尊重が重要視される一方、多様性はこれまでの秩序を乱すものとして排除の対象にもなりうる。我々が暮らす現代社会には、自文化中心主義・排他主義とそれに対抗する多文化主義の言説がせめぎ合っている。本講義では、多様性とは何か、多様な文化が共生する社会とは何か、という問いを根底に置き、国内外の多文化共生の課題や職場・教育機関・地域社会での多文化共生に関する取り組みを考察する。さらに、グループ・ディスカッションを通して、批判的思考力、問題解決力、コミュニケーション力を涵養しつつ、多文化共生社会の促進のために必要な態度とは何かについて理解を深める。,加藤鈴子,yes,no,4,1,月曜４限,第1クォーター,選,ダイバーシティ、エクイティ&インクルージョン、多文化共生、人権、異文化間コンピテンス,GEプログラム,,
応用線形代数,制御理論や機械学習などの専門分野を学んでいく上で，より深い線形代数の知識が必要となる．この講義では，行列の正定値性，特異値分解，疑似逆行列，連立方程式の最小二乗解，クロネッカー積などについて学ぶ．また，近似問題の定式化に不可欠なベクトルや信号，行列などのノルムについても学ぶ．,瀨部昇,no,yes,2,1,非同期,第1クォーター,選,固有値，特異値，正定値性，ベクトルノルム，信号のノルム,基礎科目,,2
思考モデリングAI,本講義では、人の思考をコンピュータで扱うための方法論について講義を行う。具体的には、人の思考プロセスおよび人が持っている知識をコンピュータを用いて推定・蓄積するための手法について述べる。さらに、思考モデリング／ユーザモデリング（以下，思考モデリング）の結果の利用例として、計算機システムが利用者のモデルを推定し利用者の知識状態を考慮した対応をとる方法についても述べる。,國近秀信,no,yes,4,2,非同期,第2クォーター,選必,ユーザモデリング、知識表現、思考プロセス、対話システム,専門深化,人工知能,
思考モデリングMI,本講義では、人の思考をコンピュータで扱うための方法論について講義を行う。具体的には、人の思考プロセスおよび人が持っている知識をコンピュータを用いて推定・蓄積するための手法について述べる。さらに、思考モデリング／ユーザモデリング（以下，思考モデリング）の結果の利用例として、計算機システムが利用者のモデルを推定し利用者の知識状態を考慮した対応をとる方法についても述べる。,國近秀信,no,yes,4,2,非同期,第2クォーター,選必,ユーザモデリング、知識表現、思考プロセス、対話システム,専門深化,メディア情報学,
情報可視化特論,大規模な多次元データの分布や特徴を対話的に可視化する諸技術を紹介し，関連するアプリケーションを用いた演習を通じて，データ分析の道具として活用できる実践的能力を習得させる．,坂本比呂志,no,no,1,1,集中講義,前期,選,情報可視化，データ・サイエンス，対話的分析,社会駆動,AI応用,1
情報数学特論,数学的な知識を駆使して，計算機科学の諸問題を解くためのテクニックについて学ぶ．,坂本比呂志,yes,yes,1,2,非同期,第3クォーター,選,離散数学，情報検索，データ構造，並列計算，計算困難問題など,基礎科目,,1
情報社会学,現在の日本社会で生じている社会問題について、研究や実践の動向を把握した上で、情報技術を用いた改善策の立案を学生主体で行う。情報化やそれとともに生じているグローバル化は、しばしば国が統制できる範囲を超えて、ローカルな社会に多くの課題を生じさせている。例えば都市部への人口集中に伴う過疎地域の出現や、労働規制の緩和による不安定就労の増加が挙げられる。他方で、それはこれまでの拘束から人々を解放する側面もあり、抑圧されてきた経験の共有や新たな出会いの機会をもたらしている。本授業では、こうした変化を踏まえつつ、これまで学んできた情報技術を、どのように社会課題の改善に活かすかを主体的に考える場とする。,井口尚樹,yes,no,4,1,木曜４限,第4クォーター,選,情報化、グローバル化、AIの発達、人間拡張、障害、社会モデル、生きづらさ、少子高齢化、未婚化、子育て支援、社会調査,GEプログラム,,
数学基礎特論,数学を学ぶときにかならず必要となる、論理・集合・写像・基数・関係・順序・位相空間・距離空間といった概念について丁寧に学び、論理的思考力を錬成する。,乃美正哉,yes,no,1,2,水曜２限・金曜１限,第1クォーター,選,"論理,集合,写像,基数,関係,順序,位相空間,距離空間",基礎科目,,2
新規事業創出論,先行きが見えない時代の中、これまでにない発想力で新製品や新規事業を創造できる人材が求められている。企業へ就職する場合でも、一方ベンチャーを自ら起業していく場合でも、世の中の課題をいち早くキャッチし、その課題を解決するためにこれまでにないアイデアを具現化していく熱意が重要であり、このような起業家精神（アントレプレナーシップ）は多くの企業で求められるマインドである。一方、企業や研究所に勤める際に求められる能力とは何か、在学中の早い段階で意識し努力をすることは大変重要である。本授業では、実際に企業で活躍する技術者や企業経験のある専門家を招聘し、企業において新規事業を立ち上げることの意味や新商品や新サービスを生み出していく方法論などについて語っていただき、企業で求められる能力・スキルとはどのようなものか理解し、定着させることを目指す。また、並行して自分自身のスキルレベルの把握、研究テーマや業務のまとめ、調査活動などを行うことによって、自らの現状を把握し、自らの能力やスキルを向上させる方法を見出せるようになることを目指す。,中藤良久,yes,yes,4,1,水曜５限・水曜６限,第4クォーター,選,コミュニケーション能力、プロジェクトマネジメント、リーダシップ,GEプログラム,,1
時系列データ解析特論AI,時系列解析とは、株価、為替レートなどの金融・経済データ、気温や降水量などの気象データ、地震波などの地球・宇宙科学のデータ、脳波や心電図などの医学・生物データなど、私たちをとりまく実世界の現象が記録されたデータから、その現象の複雑・不確実かつダイナミックなシステムを解明し、その将来の変動を予測・制御、また意味のある要約や統計情報を抽出するための方法である。近年のIoT化やデジタル化などの発展により日々生み出される時系列データは膨大であり、現代的なデータサイエンスの視点における時系列解析が求められている。言い換えると、時系列ビッグデータに対して適切にモデリングし、適切な情報を取り出す手法として、従来の時系列モデリングに代表される統計科学的アプローチに加えて、機械学習の手法を組み合わせた新たな時系列解析手法のニーズが高まっている。本講義で、時系列の探索的データ解析や具体的な前処理の手法をはじめ、従来の統計的時系列解析における様々な時系列モデルやスペクトル推定、さらにはディープラーニングによる時系列解析など近年高まっている機械学習アプローチについて学ぶ。,藤本晶子,no,no,2,2,月曜４限・木曜５限,第2クォーター,選必,時系列データ、スペクトル推定、自己回帰モデル、状態空間モデル、非定常時系列解析,専門深化,人工知能,2
時系列データ解析特論DS,時系列解析とは、株価、為替レートなどの金融・経済データ、気温や降水量などの気象データ、地震波などの地球・宇宙科学のデータ、脳波や心電図などの医学・生物データなど、私たちをとりまく実世界の現象が記録されたデータから、その現象の複雑・不確実かつダイナミックなシステムを解明し、その将来の変動を予測・制御、また意味のある要約や統計情報を抽出するための方法である。近年のIoT化やデジタル化などの発展により日々生み出される時系列データは膨大であり、現代的なデータサイエンスの視点における時系列解析が求められている。言い換えると、時系列ビッグデータに対して適切にモデリングし、適切な情報を取り出す手法として、従来の時系列モデリングに代表される統計科学的アプローチに加えて、機械学習の手法を組み合わせた新たな時系列解析手法のニーズが高まっている。本講義で、時系列の探索的データ解析や具体的な前処理の手法をはじめ、従来の統計的時系列解析における様々な時系列モデルやスペクトル推定、さらにはディープラーニングによる時系列解析など近年高まっている機械学習アプローチについて学ぶ。,藤本晶子,no,no,1,2,月曜４限・木曜５限,第2クォーター,選必,時系列データ、スペクトル推定、自己回帰モデル、状態空間モデル、非定常時系列解析,専門深化,データ科学,1
時系列データ解析特論MI,時系列解析とは、株価、為替レートなどの金融・経済データ、気温や降水量などの気象データ、地震波などの地球・宇宙科学のデータ、脳波や心電図などの医学・生物データなど、私たちをとりまく実世界の現象が記録されたデータから、その現象の複雑・不確実かつダイナミックなシステムを解明し、その将来の変動を予測・制御、また意味のある要約や統計情報を抽出するための方法である。近年のIoT化やデジタル化などの発展により日々生み出される時系列データは膨大であり、現代的なデータサイエンスの視点における時系列解析が求められている。言い換えると、時系列ビッグデータに対して適切にモデリングし、適切な情報を取り出す手法として、従来の時系列モデリングに代表される統計科学的アプローチに加えて、機械学習の手法を組み合わせた新たな時系列解析手法のニーズが高まっている。本講義で、時系列の探索的データ解析や具体的な前処理の手法をはじめ、従来の統計的時系列解析における様々な時系列モデルやスペクトル推定、さらにはディープラーニングによる時系列解析など近年高まっている機械学習アプローチについて学ぶ。,藤本晶子,no,no,4,2,月曜４限・木曜５限,第2クォーター,選必,時系列データ、スペクトル推定、自己回帰モデル、状態空間モデル、非定常時系列解析,専門深化,メディア情報学,
暗号数学特論,高度に情報化された社会では人・物と人・物がインターネットでつながれ，情報のやり取りが行われる．情報を安全かつ正確，迅速に通信するためには情報セキュリティの技術が不可欠である．暗号理論は情報セキュリティ技術の基礎理論の一つであり，RSA暗号や楕円曲線暗号のような公開鍵暗号システムは高度な数学（代数学）の基盤の上に構築されている．この講義では，RSA暗号やElGamal暗号，楕円曲線暗号を中心に取り扱い，これらの暗号を理解するために必要な代数学（群論，可換環論，有限体論）について解説する．また，属性ベース暗号や関数型暗号などの新しい暗号システムや耐量子コンピュータ暗号（ポスト量子暗号）についても時間の許す限り解説する．,佐藤好久,no,no,3,2,火曜２限・木曜２限,第2クォーター,選,初等整数論，群論，可換環論，有限体論，RSA暗号，ElGamal暗号、楕円曲線号,基礎科目,,4
暗号理論,共通鍵暗号、公開鍵暗号、ハッシュ関数などの暗号基礎技術を講義し、ブロックチェーンで利用されている楕円曲線暗号やハッシュチェーン、デジタル通貨に関する講義を行う。,荒木俊輔,no,no,4,1,木曜３限,第2クォーター,選,公開鍵暗号・デジタル署名、暗号学的ハッシュ関数、ハッシュ(マークル)ツリー,社会駆動,金融・流通,
最適化アルゴリズム論,情報工学，情報科学，システム工学において現れる最適化問題は，離散的構造を有しているものが多く，これらは離散最適化問題として定式化される．扱う情報は爆発的に増え，これら大量の情報を処理するためには，高性能なアルゴリズムの設計技法や効率の良いデータ構造の知識が必要不可欠である．本講義では，様々な組合せ最適化問題，グラフ・ネットワークに関する最適化問題，計算幾何に関する最適化問題などを取り上げ，アルゴリズムの系統的設計手法，及び解析手法を概観する．,宮野英次,no,no,3,2,火曜１限・火曜２限,第1クォーター,選,数理最適化，組合せ最適化，データ構造，離散アルゴリズム，計算複雑さ,基礎科目,,3
検索アルゴリズム論AI,集合型データ構造の最も基本的な手続きであり、データベースシステムの根幹であり、またあらゆる高度な情報科学的技法、情報システムに不可欠な構成要素、あるいはその目的自体といえることも少なくない検索の技法について、学部の授業科目であまり扱わない高度な技法、特にアルゴリズミックな手法を中心に解説する。,下薗真一,yes,no,4,2,火曜５限・金曜３限,第2クォーター,選必,情報検索，検索アルゴリズム，データ構造，二色木，B木，文字列検索,専門深化,人工知能,
検索アルゴリズム論DS,集合型データ構造の最も基本的な手続きであり、データベースシステムの根幹であり、またあらゆる高度な情報科学的技法、情報システムに不可欠な構成要素、あるいはその目的自体といえることも少なくない検索の技法について、学部の授業科目であまり扱わない高度な技法、特にアルゴリズミックな手法を中心に解説する。,下薗真一,yes,no,4,2,火曜５限・金曜３限,第2クォーター,選必,情報検索，検索アルゴリズム，データ構造，二色木，B木，文字列検索,専門深化,データ科学,
検索アルゴリズム論MI,集合型データ構造の最も基本的な手続きであり、データベースシステムの根幹であり、またあらゆる高度な情報科学的技法、情報システムに不可欠な構成要素、あるいはその目的自体といえることも少なくない検索の技法について、学部の授業科目であまり扱わない高度な技法、特にアルゴリズミックな手法を中心に解説する。,下薗真一,yes,no,2,2,火曜５限・金曜３限,第2クォーター,選必,情報検索，検索アルゴリズム，データ構造，二色木，B木，文字列検索,専門深化,メディア情報学,1
機械学習特論:理論とアルゴリズム,テキストや映像、インターネットの閲覧履歴など、各種データはますます大量に生み出され、その重要性は増す一方である。こういったデータを分かりやすく理解し、活用する手段として近年注目されているのがデータ科学/機械学習/人工知能である。本講義ではその理論と手法一般について解説するとともに、演習を通して実際のデータの解析法などを扱う。,西郷浩人,no,no,2,2,集中講義,前期,選,統計、最適化、学習、パターン認識、人工知能、データマイニング,基礎科目,,2
深層学習特論IAI,ThiswillbeanEnglishlecture.Intendedaudiencesare(1)foreignstudentand(2)Japanesestudents.NoJapanesematerialsareprovided.Thislecturepicksupthehottopicsindeeplearning.Thislecturedoesnotcoverthewideareaofdeeplearningbutonlyfocusesonsometopics.LattersectionrequirestosubmittheEnglishreport.WedonotacceptJapanesereportorpresentation.,大北剛,no,no,1,1,火曜３限,第1クォーター,選必,"DeepLearning,MachineLearning.",専門深化,人工知能,1
深層学習特論IDS,ThiswillbeanEnglishlecture.Intendedaudiencesare(1)foreignstudentand(2)Japanesestudents.NoJapanesematerialsareprovided.Thislecturepicksupthehottopicsindeeplearning.Thislecturedoesnotcoverthewideareaofdeeplearningbutonlyfocusesonsometopics.LattersectionrequirestosubmittheEnglishreport.WedonotacceptJapanesereportorpresentation.,大北剛,no,no,1,1,火曜３限,第1クォーター,選必,"DeepLearning,MachineLearning.",専門深化,データ科学,1
深層学習特論IMI,ThiswillbeanEnglishlecture.Intendedaudiencesare(1)foreignstudentand(2)Japanesestudents.NoJapanesematerialsareprovided.Thislecturepicksupthehottopicsindeeplearning.Thislecturedoesnotcoverthewideareaofdeeplearningbutonlyfocusesonsometopics.LattersectionrequirestosubmittheEnglishreport.WedonotacceptJapanesereportorpresentation.,大北剛,no,no,4,1,火曜３限,第1クォーター,選必,"DeepLearning,MachineLearning.",専門深化,メディア情報学,
深層学習特論IIAI,"深層学習の構築法や理論を講義することにより、人工知能のコア技術を習得するとともに、LLMと生成AIなどの最新技術にも触れる.トピック的に紹介する形で,全体を基礎から講義するスタイルではないことに注意されたい.背景の知識を得るための教材は、授業の中で紹介する。また、後半部の論文紹介は、講義受講生が行う形を考えている.授業は、支障なければ、ほとんど全てを遠隔で行う予定です.",大北剛,no,no,1,2,火曜３限・火曜４限,第2クォーター,選必,"深層学習、機械学習、LLM,生成AI,コンピュータビジョン、量子機械学習,深層強化学習",専門深化,人工知能,1
深層学習特論IIDS,"深層学習の構築法や理論を講義することにより、人工知能のコア技術を習得するとともに、LLMと生成AIなどの最新技術にも触れる.トピック的に紹介する形で,全体を基礎から講義するスタイルではないことに注意されたい.背景の知識を得るための教材は、授業の中で紹介する。また、後半部の論文紹介は、講義受講生が行う形を考えている.授業は、支障なければ、ほとんど全てを遠隔で行う予定です.",大北剛,no,no,1,2,火曜３限・火曜４限,第2クォーター,選必,"深層学習、機械学習、LLM,生成AI,コンピュータビジョン、量子機械学習,深層強化学習",専門深化,データ科学,1
深層学習特論IIMI,"深層学習の構築法や理論を講義することにより、人工知能のコア技術を習得するとともに、LLMと生成AIなどの最新技術にも触れる.トピック的に紹介する形で,全体を基礎から講義するスタイルではないことに注意されたい.背景の知識を得るための教材は、授業の中で紹介する。また、後半部の論文紹介は、講義受講生が行う形を考えている.授業は、支障なければ、ほとんど全てを遠隔で行う予定です.",大北剛,no,no,4,2,火曜３限・火曜４限,第2クォーター,選必,"深層学習、機械学習、LLM,生成AI,コンピュータビジョン、量子機械学習,深層強化学習",専門深化,メディア情報学,
物理数学概論,超伝導体は電気抵抗がゼロであることから様々な機器応用への利用が期待されている。この超伝導体の物理現象はGinzburg-Landau(G-L)理論でよく説明されるが、この理論から導き出されるG-L方程式は、超伝導体の自由エネルギーを変分法を用いて最小化することで得られる。すなわち現代物理学における理論解析には変分法のような数学的手法が重要になってくる。ここではラグランジュ方程式、変分法、ハミルトニアン方程式、ベクトル解析等に焦点をあて、物理現象の理論解明に関する教育研究を行う。,木内勝,yes,no,4,2,火曜３限・金曜３限,第3クォーター,選,"解析力学、ラグランジュ,オイラー方程式、ハミルトニアン、正準変換,シュレーディンガー方程式,GL方程式",基礎科目,,
環境学特論,1980年代以降、地球環境の悪化が懸念され始め、1992年に地球サミットとして知られる国連環境開発会議において、環境に関する3つの条約が採択されました。1997年には、この条約のひとつから京都議定書が合意され、地球温暖化の原因となっている温室効果ガス排出量の削減を先進国に義務化しました。しかしながら、地球環境はさらに深刻化しており、地球が許容できる限界を超えると言われています。2015年になると、持続可能な開発目標（SDGs）とパリ協定が誕生し、国際社会は問題解決の方法を変えました。国家に対する規制的手法から、全ての人々を巻き込んだ多面的な分野からの解決方法を模索しています。本授業では、持続可能性の概念から、環境問題を考える上で必要となる包括的な教養と視野を育みます。トピックとしては、地球規模で進行する気候変動やプラスチック問題に焦点をあて、グローバル社会での最新の知見を提供する講義に加え、ローカルな取組や可能性についても考えます。また、国際社会の一員として、地球規模課題に自分の専門性を通じて貢献するグローバル・エンジニア人材を育むことを目指します。,蔡佩宜,yes,no,4,1,月曜４限,第4クォーター,選,地球環境問題、環境政策、地球温暖化、プラスチック、エネルギー、感染症、持続可能な発展,GEプログラム,,
画像認識特論AI,画像認識とは、コンピュータを用いて画像データから文字や顔などのオブジェクトや、対象物の形状や数、明暗、色などの特徴を捉え、対象物を識別するパターン認識技術の一つである。深層学習の登場により人工知能（AI）の計算能力が飛躍的に向上し、音声認識からデータ分析、画像認識など、様々な分野で進展している。特に画像認識はAIにより大きく発展した分野の代表例である。本講義では画像認識について、基礎から応用について講義する。具体的には、深層学習が主流となる以前のアルゴリズムや近年の深層学習を用いたアルゴリズム、画像認識の活用事例について教授する。画像認識に関連する論文読みや演習を課す。,齊藤剛史,no,no,2,2,木曜３限・木曜４限,第2クォーター,選必,画像認識、画像処理、パターン認識、深層学習,専門深化,人工知能,2
画像認識特論CR,画像認識とは、コンピュータを用いて画像データから文字や顔などのオブジェクトや、対象物の形状や数、明暗、色などの特徴を捉え、対象物を識別するパターン認識技術の一つである。深層学習の登場により人工知能（AI）の計算能力が飛躍的に向上し、音声認識からデータ分析、画像認識など、様々な分野で進展している。特に画像認識はAIにより大きく発展した分野の代表例である。本講義では画像認識について、基礎から応用について講義する。具体的には、深層学習が主流となる以前のアルゴリズムや近年の深層学習を用いたアルゴリズム、画像認識の活用事例について教授する。画像認識に関連する論文読みや演習を課す。,齊藤剛史,no,no,4,2,木曜３限・木曜４限,第2クォーター,選,画像認識、画像処理、パターン認識、深層学習,社会駆動,画像認識,
画像認識特論DS,画像認識とは、コンピュータを用いて画像データから文字や顔などのオブジェクトや、対象物の形状や数、明暗、色などの特徴を捉え、対象物を識別するパターン認識技術の一つである。深層学習の登場により人工知能（AI）の計算能力が飛躍的に向上し、音声認識からデータ分析、画像認識など、様々な分野で進展している。特に画像認識はAIにより大きく発展した分野の代表例である。本講義では画像認識について、基礎から応用について講義する。具体的には、深層学習が主流となる以前のアルゴリズムや近年の深層学習を用いたアルゴリズム、画像認識の活用事例について教授する。画像認識に関連する論文読みや演習を課す。,齊藤剛史,no,no,1,2,木曜３限・木曜４限,第2クォーター,選必,画像認識、画像処理、パターン認識、深層学習,専門深化,データ科学,1
画像認識特論MI,画像認識とは、コンピュータを用いて画像データから文字や顔などのオブジェクトや、対象物の形状や数、明暗、色などの特徴を捉え、対象物を識別するパターン認識技術の一つである。深層学習の登場により人工知能（AI）の計算能力が飛躍的に向上し、音声認識からデータ分析、画像認識など、様々な分野で進展している。特に画像認識はAIにより大きく発展した分野の代表例である。本講義では画像認識について、基礎から応用について講義する。具体的には、深層学習が主流となる以前のアルゴリズムや近年の深層学習を用いたアルゴリズム、画像認識の活用事例について教授する。画像認識に関連する論文読みや演習を課す。,齊藤剛史,no,no,1,2,木曜３限・木曜４限,第2クォーター,選必,画像認識、画像処理、パターン認識、深層学習,専門深化,メディア情報学,1
知能情報概論,本講義は，知的情報処理に関する最新のトピックを幅広く学ぶための講義である．知能分野の3コースであるデータ科学，人工知能，メディア情報学コースの各分野における特色ある研究や最新の成果がどのような分野で活用されているかを，実例を通して学ぶ．,本田あおい,yes,yes,1,1,非同期,第1クォーター,選,データ科学，人工知能，メディア情報学,社会駆動,AI応用,1
知能情報演習AI,本演習は、データ科学、AI、メディア情報に関するPBL型総合演習である。履修生を複数名から構成されるグループに分け、各グループで実践的な課題および課題解決のための計画を設計させる。グループワークとして課題解決に取り組み、コンペ形式で各グループの成果物について発表させ、教員のみでなく学生による相互評価を踏まえつつ評価する。この課題解決への取り組みを通して、知能情報分野における実践的な課題探求能力と課題解決能力を育成する。,嶋田和孝,no,no,4,1,木曜１限・木曜２限,第3クォーター,選必,データ科学、人工知能、メディア情報学、PBL演習,専門深化,人工知能,4
知能情報演習DS,本演習は、データ科学、AI、メディア情報に関するPBL型総合演習である。履修生を複数名から構成されるグループに分け、各グループで実践的な課題および課題解決のための計画を設計させる。グループワークとして課題解決に取り組み、コンペ形式で各グループの成果物について発表させ、教員のみでなく学生による相互評価を踏まえつつ評価する。この課題解決への取り組みを通して、知能情報分野における実践的な課題探求能力と課題解決能力を育成する。,嶋田和孝,no,no,2,1,木曜１限・木曜２限,第3クォーター,選必,データ科学、人工知能、メディア情報学、PBL演習,専門深化,データ科学,1
知能情報演習MI,本演習は、データ科学、AI、メディア情報に関するPBL型総合演習である。履修生を複数名から構成されるグループに分け、各グループで実践的な課題および課題解決のための計画を設計させる。グループワークとして課題解決に取り組み、コンペ形式で各グループの成果物について発表させ、教員のみでなく学生による相互評価を踏まえつつ評価する。この課題解決への取り組みを通して、知能情報分野における実践的な課題探求能力と課題解決能力を育成する。,嶋田和孝,no,no,4,1,木曜１限・木曜２限,第3クォーター,選必,データ科学、人工知能、メディア情報学、PBL演習,専門深化,メディア情報学,
確率数値解析特論,確率微分方程式の数値解法について講義する．確率微分方程式は確率的な振る舞いを考慮に入れなければならない物理現象を記述するのに優れている．その応用範囲は広く，生体内の化学反応，乱流拡散など様々な対象を記述できる．しかし，確率微分方程式の解が解析的に求まるケースは稀である．その為，近似解を与える数値解法が望まれ，今日までにそのような解法が発展してきた．本講義では，確率微分方程式の導入から代表的な数値解法の導出及び応用問題への適用まで総合的に言及する．,小守良雄,yes,no,4,2,月曜３限・木曜５限,第3クォーター,選,確率微分方程式，数値解法，近似解，数値的安定性，確率ルンゲクッタ法,基礎科目,,
算法表現特論AI,知的情報処理を実現するためのアルゴリズムで必要となる制御構造，手続き，および，データ構造の表現を理解し，人工知能の対象領域であるゲームプログラミングを題材として，様々なゲーム木探索法と探索の効率化手法を学ぶ．,中村貞吾,yes,no,4,2,月曜５限・木曜４限,第1クォーター,選必,αβ探索，トランスポジションテーブル，反復深化法，証明数探索，モンテカルロ木探索,専門深化,人工知能,
算法表現特論DS,知的情報処理を実現するためのアルゴリズムで必要となる制御構造，手続き，および，データ構造の表現を理解し，人工知能の対象領域であるゲームプログラミングを題材として，様々なゲーム木探索法と探索の効率化手法を学ぶ．,中村貞吾,yes,no,4,2,月曜５限・木曜４限,第1クォーター,選必,αβ探索，トランスポジションテーブル，反復深化法，証明数探索，モンテカルロ木探索,専門深化,データ科学,
算法表現特論MI,知的情報処理を実現するためのアルゴリズムで必要となる制御構造，手続き，および，データ構造の表現を理解し，人工知能の対象領域であるゲームプログラミングを題材として，様々なゲーム木探索法と探索の効率化手法を学ぶ．,中村貞吾,yes,no,3,2,月曜５限・木曜４限,第1クォーター,選必,αβ探索，トランスポジションテーブル，反復深化法，証明数探索，モンテカルロ木探索,専門深化,メディア情報学,3
経営戦略特論,産業や社会のデジタルトランスフォーメーション（ＤＸ）が進み、世界がフラット化する環境において、企業は将来に渡る経営戦略を再検討する時期が来ている。本講義では、様々な業種から講師を招き、ＤＸ時代にどのような課題や問題を発見し、どのような経営戦略や人材育成戦略を掲げて、それらを解決していこうとしているか等の企業の戦略に触れる。それらに基づいて、高度情報技術者として生み出すべきものは何か、そのためにはどのような技術開発が必要とされているか等について、学習する。授業はオムニバス形式で、各回に以下のテーマに基づいて、講義する。・業界・企業概要の紹介・経営戦略と人事戦略、人材育成、これからの時代に求められる人材像・DXの紹介,坂本比呂志,no,no,1,1,水曜４限,第1クォーター,選,経営戦略、採用活動、人事戦略、DX,GEプログラム,,1
統計的データ解析特論,人工知能技術の発展に伴いデータ解析の重要性が増してきたが、近年は技術革新やさらに法整備も進みビッグデータの利活用が一気に加速している。こららの解析に使われる手法の多くは伝統的な統計手法を基盤としたものが多く、統計学の素養が人工知能の理解や直感的な発見にもつながり、情報技術者にとって統計学の知識を持つことは大きな強みとなるといえる。本科目では、統計における重要な項目、学部科目の数理統計では時間的制約から扱うことのできなかった重要なトピックスや最新のトピックスを講義する。,本田あおい,yes,no,1,2,月曜４限・水曜１限,第1クォーター,選,データサイエンス、ビッグデータ、機械学習、人工知能、ベイズ推論、検定と推定、SHAP,基礎科目,,1
自然言語処理特論AI,WWWの普及により電子化された大規模な言語データが存在し，それらを対象とした自然言語処理の重要性が増している。本授業では，機械学習や統計的手法などに基づく言語処理の基本と要素技術，応用例について教授する。,嶋田和孝,yes,no,1,2,火曜２限・金曜３限,第3クォーター,選必,自然言語処理，コーパス，テキストマイニング,専門深化,人工知能,1
自然言語処理特論DS,WWWの普及により電子化された大規模な言語データが存在し，それらを対象とした自然言語処理の重要性が増している。本授業では，機械学習や統計的手法などに基づく言語処理の基本と要素技術，応用例について教授する。,嶋田和孝,yes,no,1,2,火曜２限・金曜３限,第3クォーター,選必,自然言語処理，コーパス，テキストマイニング,専門深化,データ科学,1
自然言語処理特論MI,WWWの普及により電子化された大規模な言語データが存在し，それらを対象とした自然言語処理の重要性が増している。本授業では，機械学習や統計的手法などに基づく言語処理の基本と要素技術，応用例について教授する。,嶋田和孝,yes,no,2,2,火曜２限・金曜３限,第3クォーター,選必,自然言語処理，コーパス，テキストマイニング,専門深化,メディア情報学,2
